Dataset Name,Verified Dataset URL,Dataset URL from Citing/Cited Papers,Modality,Tasks,Dataset Description,Citing Papers,Cited Papers,Language,Notes,,,,,,,,,
Leyzer,https://doi.org/10.1007/978-3-030-58323-1_51,,Text," Text Classification,  Emotion Analysis","Leyzer is a multilingual text corpus designed for natural language understanding (NLU) of virtual assistants, covering 20 domains and 186 intents across English, Spanish, and Polish. Each intent contains 1–672 sentences, and it supports research on cross-lingual transfer learning and localization strategies. The dataset is officially presented in the paper published at TSD 2020 (DOI: 10.1007/978-3-030-58323-1_51) and constructed with computer-assisted translation tools.",https://doi.org/10.3390/app112110146 (2021),https://doi.org/10.1007/978-3-030-58323-1_51 (2020),Polish,,,,,,,,,,
MAUPQA,https://huggingface.co/datasets/ipipan/maupqa,,Text," Question Answering, Information Retrieval","MAUPQA is a human-annotated Polish dataset for open-domain question answering and passage retrieval. Collected from Polish texts and annotated by native speakers, it is split into train, validation, and test sets. It supports evaluating dense retrieval and QA models, and is publicly available on Hugging Face Datasets.","https://doi.org/10.48550/arXiv.2402.13350 (2024),https://doi.org/10.48550/arXiv.2309.08469 (2023)",https://doi.org/10.15439/2023F8119 (2023),Polish,,,,,,,,,,
MFAQ,https://github.com/clips/mfaq,https://github.com/clips/mfaq,Text,"Information Retrieval, Semantic Similarity, Cross-lingual Transfer","mFAQ is a multilingual FAQ retrieval dataset (21 languages) built from web-scraped FAQ pages (no human annotators). It has ~6M FAQ pairs split into train/val/test sets (no exact per-split counts). Released for academic research (multilingual/cross-lingual FAQ retrieval), it allows free non-commercial use with no strict usage restrictions.",https://doi.org/10.48550/arXiv.2402.13350 (2024),https://doi.org/10.18653/v1/2021.mrqa-1.1 (2021),Polish,The dataset URL is accessible via GitHub.,,,,,,,,,
NAPS,,,"Text, Image","Emotion Recognition,  Affective Computing, Psycholinguistic Research","A standardized database of 1,356 realistic, high-quality photographs with normative ratings for valence, arousal, and approach-avoidance dimensions, categorized into people, faces, animals, objects, and landscapes.",https://doi.org/10.1371/journal.pone.0132305 (2015),"https://doi.org/10.3758/s13428-013-0379-1 (2013),https://doi.org/10.3758/s13428-013-0379-1 (2013)",Polish,Original official URL is no longer accessible. ,,,,,,,,,
PAC,https://github.com/allegro/klejbenchmark-allegroreviews,https://github.com/allegro/klejbenchmark-allegroreviews,Text,Sentiment Analysis,"A sentiment classification dataset consisting of user reviews from the Polish e-commerce platform Allegro, used in the KLEJ benchmark.",https://doi.org/10.48550/arXiv.2404.17832 (2024),https://doi.org/10.18653/v1/2020.acl-main.111 (2020),Polish,,,,,,,,,,
PKK,https://clarin-pl.eu/dspace/handle/11321/124,,Text,"Natural Language Understanding, Coreference Resolution, Syntactic Analysis","A manually annotated corpus of Polish texts with coreference relations, designed to support research in coreference resolution for Polish.",https://doi.org/10.1017/S1351324923000220 (2022),"https://www.semanticscholar.org/paper/327b389dcbfe04ffeaacf91dc213997b070205d2 (2014),https://aclanthology.org/L14-1104/(2014)",Polish,,,,,,,,,,
PL-MTEB,https://github.com/rafalposwiata/pl-mteb,https://github.com/rafalposwiata/pl-mteb,Text,"Text Classification, Text Embedding Evaluation, Semantic Similarity, Clustering","PL-MTEB (Polish Massive Text Embedding Benchmark) is a comprehensive benchmark suite for evaluating text embedding models in the Polish language, consisting of 28 diverse NLP tasks across five categories including classification, clustering, pair classification, information retrieval, and semantic textual similarity. The benchmark incorporates previously used Polish datasets and adds a new PLSC (Polish Library of Science Corpus) for clustering tasks, providing open-source code and evaluation protocols.",https://doi.org/10.48550/arXiv.2505.19254 (2025),https://doi.org/10.48550/arXiv.2405.10138 (2024),Polish,,,,,,,,,,
Polish WordNet,https://github.com/clarin-pl/plWordNet,,Text," Word Sense Disambiguation, Lexical Semantics, Natural Language Understanding,  Knowledge Base Population","plWordNet is a large-scale lexical-semantic network for the Polish language, serving as the Polish counterpart to Princeton WordNet. It contains 285,000 word meanings (synsets) interconnected by over 600,000 semantic relations (e.g., synonymy, hyponymy). Each word meaning is assigned a unique identifier, linked to lemmas, part-of-speech tags, and detailed semantic descriptions. It supports direct mapping to Princeton WordNet (over 300,000 cross-lingual relations) and is extended with emotion annotations (valence, arousal, 8 basic emotions) for 6000 word meanings. ","https://doi.org/10.3758/s13428-021-01697-0 (2021),https://doi.org/10.1109/ICDMW60847.2023.00101 (2023), https://www.semanticscholar.org/paper/ea4bc6c108d8a87d01401133371a04610bc88907 (2012)","https://doi.org/10.1145/219717.219748 (1995),https://www.semanticscholar.org/paper/fc8d1868f372c8907a333b5e6dcf43d2ebe5007c (2021),https://doi.org/10.1145/219717.219748 (1995),https://doi.org/10.3758/s13428-021-01697-0 (2021）    ",Polish,,,,,,,,,,
Emotion Meanings dataset,https://clarin-pl.eu/dspace/handle/11321/710,,Text,"Emotion Analysis, Sentiment Analysis, Affective Computing","The Emotion Meanings dataset is a lexicon of 6000 Polish word meanings derived from the Polish plWordNet, where each meaning is annotated with valence, arousal, and basic emotion category norms, designed for affective research in psychology, computational linguistics, and language technologies.",https://doi.org/10.3390/app112110146 (2021),"https://doi.org/10.3758/s13428-014-0552-1 (2015),https://doi.org/10.1145/219717.219748 (1995),https://doi.org/10.3758/s13428-021-01697-0 (2021）    ",Polish,,,,,,,,,,
POLEMAD,,,"Text, Speech, Video","Automatic Speech Recognition, Multimodal Understanding, Language Acquisition Analysis","The POLEMAD dataset is a multimodal speech database of Polish pronunciation that includes synchronized electromagnetic articulography (EMA) recordings, high-quality multichannel audio, and video data collected from multiple speakers, designed to support research on articulatory modeling, speech production analysis, and multimodal speech processing.
",https://doi.org/10.48550/arXiv.2406.10255 (2024),https://doi.org/10.1016/j.specom.2020.12.005 (2021),Polish,"The POLEMAD dataset is described in the cited paper, but no publicly accessible download repository or direct dataset URL is provided.",,,,,,,,,
